YEAR;MONTH;DAY;HOUR;TH;RAIN;RADIATION;WIND;RH
2017;1;13;15;5.3;0;37;18;73
2017;1;13;16;4.9;0;3;16;73
2017;1;13;17;4.6;0;0;13;73
2017;1;13;18;3.7;0;0;8;75
2017;1;13;19;3.3;0;0;6;73
2017;1;13;20;2.6;0;0;7;71
2017;1;13;21;2.4;0;0;3;69
2017;1;13;22;1;0;0;2;77
2017;1;13;23;-1.1;0;0;2;87
2017;1;14;0;-0.8;0;0;2;88
2017;1;14;1;-1.9;0;0;1;91
2017;1;14;2;-2;0;0;2;91
2017;1;14;3;-2.6;0;0;1;92
2017;1;14;4;-1.8;0;0;1;88
2017;1;14;5;-0.8;0;0;1;86
2017;1;14;6;1.2;0;0;4;79
2017;1;14;7;2.3;0;10;3;77
2017;1;14;8;4.7;0;57;6;71
2017;1;14;9;6.1;0;100;8;70
2017;1;14;10;6.6;0;128;14;63
2017;1;14;11;7.5;0;150;19;60
2017;1;14;12;7.1;0;122;20;52
2017;1;14;13;6.6;0;107;25;46
2017;1;14;14;6.1;0;60;24;46
2017;1;14;15;4.9;0;36;24;47
2017;1;14;16;4.3;0;2;23;47
2017;1;14;17;3.8;0;0;18;50
2017;1;14;18;3.4;0;0;14;57
2017;1;14;19;2.9;0;0;14;59
2017;1;14;20;2.8;0;0;13;61
2017;1;14;21;2.1;0;0;10;65
2017;1;14;22;1.6;0;0;9;75
2017;1;14;23;1.8;0;0;11;73
2017;1;15;0;2.3;0;0;13;68
2017;1;15;1;2.5;0;0;10;66
2017;1;15;2;2.5;0;0;10;72
2017;1;15;3;1.8;0;0;11;76
2017;1;15;4;1.6;0;0;14;77
2017;1;15;5;1.9;0;0;16;76
2017;1;15;6;1.8;0;0;19;74
2017;1;15;7;2.2;0;5;23;74
2017;1;15;8;3.3;0;57;22;69
2017;1;15;9;4.4;0;105;24;64
2017;1;15;10;5.1;0;141;26;56
2017;1;15;11;5.4;0;159;31;56
2017;1;15;12;5.6;0;155;29;50
2017;1;15;13;5.8;0;132;27;51
2017;1;15;14;5.3;0;89;25;53
2017;1;15;15;4.5;0;30;22;55
2017;1;15;16;4;0;2;20;60
2017;1;15;17;3.6;0;0;19;62
2017;1;15;18;3.2;0;0;18;68
2017;1;15;19;3.1;0;0;19;68
2017;1;15;20;2.7;0;0;17;69
2017;1;15;21;2.5;0;0;15;68
2017;1;15;22;2.3;0;0;17;69
2017;1;15;23;1.5;0;0;14;73
2017;1;16;0;1.6;0;0;11;73
2017;1;16;1;1.2;0;0;9;75
2017;1;16;2;1;0;0;9;76
2017;1;16;3;0.6;0;0;6;78
2017;1;16;4;0.7;0;0;8;76
2017;1;16;5;1.5;0;0;10;74
2017;1;16;6;1.3;0;0;10;75
2017;1;16;7;2.3;0;6;13;68
2017;1;16;8;3.6;0;57;18;60
2017;1;16;9;4.3;0;107;24;58
2017;1;16;10;5.1;0;142;27;55
2017;1;16;11;5;0;158;23;58
2017;1;16;12;5;0;155;26;55
2017;1;16;13;5.1;0;133;26;54
2017;1;16;14;4.6;0;88;24;52
2017;1;16;15;3.7;0;33;23;53
2017;1;16;16;3;0;3;22;58
2017;1;16;17;2.1;0;0;21;67
2017;1;16;18;2.2;0;0;25;58
2017;1;16;19;1.8;0;0;25;60
2017;1;16;20;1.2;0;0;25;59
2017;1;16;21;0.7;0;0;23;61
2017;1;16;22;0.5;0;0;21;62
2017;1;16;23;0.4;0;0;23;62
2017;1;17;0;0.1;0;0;22;63
2017;1;17;1;-0.3;0;0;22;64
2017;1;17;2;-0.6;0;0;23;63
2017;1;17;3;-0.8;0;0;22;65
2017;1;17;4;-1;0;0;22;66
2017;1;17;5;-1.2;0;0;23;65
2017;1;17;6;-1.4;0;0;21;67
2017;1;17;7;-1.2;0;5;20;66
