Year	Month	Day	Tmin	Tmax	Radiation	Rain	Humidity	Wind	UN	UX	-CO2	ETPP
1991	5	3	6.1	11	1340	0	66	4.9	49	83	-999	3.2
1991	5	4	3.8	10	1080	1	73	2	52	94	-999	2
1991	5	5	-0.6	11.4	2030	0	73	1.6	51	95	-999	2.4
1991	5	6	1.5	12.2	1590	0	74.5	1.5	52	97	-999	2.2
1991	5	7	2.4	12.9	1780	0	73.5	1.3	51	96	-999	2.4
1991	5	8	4.9	16.7	1620	0	67.5	2.1	44	91	-999	2.8
1991	5	9	4.4	19	2540	0	65	3.8	38	92	-999	4.5
1991	5	10	6.7	17.4	2010	0.5	62	3.4	38	86	-999	3.9
1991	5	11	8.1	17.2	1620	0	60.5	4.5	39	82	-999	4.1
1991	5	12	6.2	15.9	1180	0.5	64.5	1.4	39	90	-999	2.2
1991	5	13	2.6	19.6	2600	0	64.5	1.4	38	91	-999	3.8
1991	5	14	7.9	17.9	790	0	63	2.2	38	88	-999	2.1
1991	5	15	5.8	13.9	2070	0.5	62.5	4	38	87	-999	3.9
1991	5	16	5.4	12.4	1830	0	63	4	38	88	-999	3.6
1991	5	17	4.3	12.3	2140	0	63	3.5	41	85	-999	3.7
1991	5	18	2.5	14.9	2230	0	63	3.2	37	89	-999	3.7
1991	5	19	3.9	17.8	2320	0	57.5	2.2	33	82	-999	3.9
1991	5	20	4.5	19.5	2280	0	68.5	1.7	47	90	-999	3.6
1991	5	21	6.9	23.7	2390	0	70.5	1.4	47	94	-999	4
1991	5	22	10.9	25.6	2390	0	66.5	2.5	40	93	-999	4.8
1991	5	23	9.5	19	2810	0	57.5	4.2	29	86	-999	5.8
1991	5	24	6	17.3	2840	0	52.5	3.3	26	79	-999	5.1
1991	5	25	3.1	19.9	2830	0	58	2.4	35	81	-999	5
1991	5	26	8	21.9	2530	0	61	2.8	35	87	-999	5.2
1991	5	27	7.1	22.4	2920	0	60	3.2	35	85	-999	6.1
1991	5	28	7.1	24.8	2910	0	59	1.8	35	83	-999	5.5
1991	5	29	9.7	25.2	2680	0	55.5	2.2	35	76	-999	5.8
1991	5	30	9.5	24.5	2820	0	57.5	2.2	35	80	-999	5.8
1991	5	31	9.6	26	2620	0	56.5	1.3	35	78	-999	5.2
1991	6	1	8.7	25.1	2270	0	62.5	2.4	35	90	-999	4.7
1991	6	2	9.4	24.9	2440	0	61.5	2	40	83	-999	4.9
1991	6	3	12.5	19.3	2340	0	62.5	3	39	86	-999	5.1
1991	6	4	6.4	17.8	2110	0	60.5	1.9	34	87	-999	3.9
1991	6	5	2.9	19.2	2630	5.5	61.5	1.3	31	92	-999	3.9
1991	6	6	10.5	18.1	1880	2	77	2.9	57	97	-999	3.6
1991	6	7	11.1	14.9	750	19.5	90	1.9	82	98	-999	1.6
1991	6	8	11.1	19.4	1470	0	76	1.9	54	98	-999	2.9
1991	6	9	12.2	15.6	630	7	92.5	1.7	87	98	-999	1.2
1991	6	10	11.4	18.8	2110	0.5	72.5	3.2	52	93	-999	4.2
1991	6	11	9.2	20.3	2480	0	64.5	1.5	35	94	-999	4.3
1991	6	12	7.5	21.4	1740	0	66.5	1.7	35	98	-999	3.8
1991	6	13	11.8	18.2	1650	0	59	2.7	35	83	-999	4.1
1991	6	14	11.8	19	1440	0	78.5	2.3	65	92	-999	3.1
1991	6	15	10	26.6	2810	0	70.5	2.7	45	96	-999	5.4
1991	6	16	11.5	15.4	590	7.5	87	1.8	76	98	-999	1.4
1991	6	17	8.2	16.3	1670	2	82	1.5	65	99	-999	2.8
1991	6	18	9.1	16.6	1810	0	63	2.1	35	91	-999	3.5
1991	6	19	7.2	16.7	1480	2.5	64.5	1.7	35	94	-999	2.7
1991	6	20	6.9	18.3	1050	4.5	81	2.3	64	98	-999	2
1991	6	21	11.5	24	2670	0	71.5	2.1	51	92	-999	4.9
1991	6	22	12.3	27.2	1970	11.5	75.5	1.6	52	99	-999	4
1991	6	23	11.7	26.3	2350	0	78.5	1.4	57	100	-999	4.3
1991	6	24	14.9	25.6	2260	0	78.5	2	59	98	-999	4.6
1991	6	25	17.2	26.7	2050	0	76	1.6	54	98	-999	4.5
1991	6	26	14.6	22.9	1590	0	81	1.7	62	100	-999	3.3
1991	6	27	10.7	17.8	1900	1	75.5	3	51	100	-999	3.7
1991	6	28	11.6	17.5	1860	0	78	2.8	64	92	-999	3.7
1991	6	29	8.2	20	1700	1	76	0.9	54	98	-999	2.9
1991	6	30	6.6	24.6	2840	0	70	1.3	40	100	-999	4.7
1991	7	1	8.5	27.5	2380	0	67	1.3	36	98	-999	4.4
1991	7	2	11.1	27.7	2430	0.5	70.5	2.4	46	95	-999	5
1991	7	3	15.9	27.8	2340	0	72.5	2.1	50	95	-999	5.1
1991	7	4	16.1	30.2	2800	0	68.5	1.9	43	94	-999	6
