year	month	day	tmin	tmean	tmax	radiation	rain	UM	wind	UN	UX	CO2	ETP
2017	4	24	7.2	14.35	21.5	2451	2	72	4	38	96	-999	4.5
2017	4	25	10.2	11.75	13.3	174	3.5	93	1.7	90	97	-999	0.4
2017	4	26	6.9	8.2	9.5	358	27	92	2.9	86	95	-999	0.7
2017	4	27	7	11.35	15.7	1726	0.5	74	2.5	48	91	-999	3
2017	4	28	8.6	11.9	15.2	1787	2	72	3.4	55	88	-999	3.5
2017	4	29	9.5	12.65	15.8	1615	0	75	3.3	58	89	-999	3.2
2017	4	30	7	12.85	18.7	1979	3	80	1.7	54	97	-999	3.1
2017	5	1	11.1	14.35	17.6	1592	0.5	84	3.5	62	94	-999	3.3
2017	5	2	10.9	16.05	21.2	2405	0	68	2.7	43	89	-999	4.6
2017	5	3	11.1	16.95	22.8	2629	0	62	2.2	35	86	-999	4.9
2017	5	4	13.3	15.8	18.3	923	0	76	3.1	49	89	-999	2.8
2017	5	5	9.9	15.1	20.3	2668	0	61	2.7	42	85	-999	4.9
2017	5	6	8.4	17.2	26	2768	0	64	0.8	33	94	-999	4.6
2017	5	7	9.9	18.45	27	2478	0	69	1.8	37	96	-999	4.6
2017	5	8	14.1	16.45	18.8	535	0	86	1.9	72	93	-999	1.5
2017	5	9	14.4	18.25	22.1	1824	0	72	5	55	84	-999	4.9
2017	5	10	15.3	18.8	22.3	2171	0	79	5.9	62	89	-999	5.4
2017	5	11	15.6	18.35	21.1	1812	1	80	6.5	63	93	-999	4.8
2017	5	12	14.7	18.85	23	2063	0	81	3.1	61	95	-999	4.3
2017	5	13	15.4	17.35	19.3	591	8.5	88	3.1	77	92	-999	1.7
2017	5	14	12.6	14.05	15.5	525	13.5	90	2	75	96	-999	1.3
2017	5	15	9.5	12.9	16.3	1608	2	79	2.4	52	94	-999	3.1
2017	5	16	5.6	15.05	24.5	2886	0	65	1.6	34	97	-999	4.7
2017	5	17	12.2	16.35	20.5	1172	3.5	74	2	51	96	-999	2.8
2017	5	18	12.4	17.8	23.2	2058	0	78	0.8	47	98	-999	3.8
2017	5	19	10.2	17.1	24	2345	0	74	1.5	52	98	-999	4.2
2017	5	20	12.6	19.2	25.8	2800	0	69	3.9	49	97	-999	6
2017	5	21	16.1	19.4	22.7	1614	0	73	3.5	61	90	-999	4.1
2017	5	22	16.5	20.7	24.9	1659	0	74	1.8	58	91	-999	3.9
2017	5	23	18.5	22.65	26.8	863	0	73	4.6	55	89	-999	3.9
2017	5	24	16.1	21.7	27.3	1903	0	72	3.3	47	97	-999	4.8
2017	5	25	18	22.9	27.8	2097	5	77	3.4	49	92	-999	5.6
2017	5	26	14.2	15.35	16.5	753	0	83	2.8	67	93	-999	2.2
